date,ts,amount,cash_before,cash_after
2026-05-14,1778803200,16.2731,9809.62,9825.89
2026-05-15,1778889600,25.0229,9875.65,9900.68
2026-05-16,1778976000,41.5029,9719.78,9761.28
2026-05-17,1779062400,42.972,9827.96,9870.93
2026-05-18,1779148800,42.1781,9630.99,9673.17
2026-05-19,1779235200,44.1616,9546.59,9590.75
2026-05-20,1779321600,42.289,9465.36,9507.65
2026-05-21,1779408000,49.8844,9366.31,9416.19
2026-05-22,1779494400,38.3563,9308.53,9346.89
2026-05-23,1779580800,26.3308,9239.01,9265.34
2026-05-24,1779667200,36.6119,9230.86,9267.47
2026-05-25,1779753600,8.67736,9309.94,9318.61
2026-05-26,1779840000,44.5718,9253.15,9297.72
2026-05-27,1779926400,45.4983,9279.3,9324.8
2026-05-28,1780012800,40.4055,9283.44,9323.85
2026-05-29,1780099200,32.1764,9267.51,9299.69
2026-05-30,1780185600,27.0309,9050.17,9077.2
2026-05-31,1780272000,21.2861,9039.86,9061.15
2026-06-01,1780358400,27.1127,9079.62,9106.74
2026-06-02,1780444800,39.6948,8914.28,8953.97
2026-06-03,1780531200,22.7204,8915.64,8938.36
2026-06-04,1780617600,31.5378,8870.86,8902.39
2026-06-05,1780786740,17.8318,9009.13,9026.96
2026-06-06,1780790400,1.03715,8939.35,8940.38
2026-06-07,1780876800,48.6755,8947.65,8996.32
2026-06-08,1780963200,26.6618,8836.8,8863.46
2026-06-09,1781049600,21.0504,8797.37,8818.42
2026-06-10,1781136000,46.4176,8804.78,8851.2
2026-06-11,1781740800,4.39737,8814.23,8818.63
2026-06-18,1781827200,40.3677,8625.36,8665.73
2026-06-19,1781913600,45.9275,8748.3,8794.23
2026-06-20,1782000000,45.5102,8709.91,8755.42
2026-06-21,1782086400,33.5861,8487.1,8520.68
2026-06-22,1782172800,55.1066,8672.13,8727.24
2026-06-23,1782262740,33.6428,8750.99,8784.64
2026-06-24,1782345600,39.5153,8774.41,8813.93
2026-06-25,1782432000,42.7109,8763.49,8806.2
2026-06-26,1782518400,42.2237,8788.39,8830.61
2026-06-27,1782604800,48.8708,8824.01,8872.88
2026-06-28,1782691200,48.3716,8897.53,8945.91
2026-06-29,1782777600,57.5354,8908,8965.54
2026-06-30,1782864000,46.8365,8937.52,8984.36
2026-07-01,1782950400,42.7082,8981.56,9024.26
2026-07-02,1783036800,43.8585,8959.97,9003.83
2026-07-03,1783123200,45.2735,9108.08,9153.36
2026-07-04,1783209600,45.3123,9107.68,9152.99
2026-07-05,1783296000,43.9986,9131.08,9175.08
2026-07-06,1783382400,52.7797,9029.87,9082.65
2026-07-07,1783468800,63.8095,9109,9172.81
2026-07-08,1783555200,43.4574,9237.34,9280.8
2026-07-09,1783641600,55.6934,9165.87,9221.57
2026-07-10,1783728000,45.528,9288.58,9334.11
2026-07-11,1783814400,66.2751,9318.92,9385.2
2026-07-12,1783900800,67.574,9385.64,9453.22
2026-07-13,1783987200,49.2859,9326.58,9375.87
2026-07-14,1784073600,57.5314,9203.11,9260.64
2026-07-15,1784160000,55.5338,9279.09,9334.62
2026-07-16,1784246400,58.2489,9250.07,9308.32
2026-07-17,1784332800,59.0826,9413.81,9472.89
2026-07-18,1784419200,52.2479,9426.47,9478.72
2026-07-19,1784505600,53.8848,9497.16,9551.04
2026-07-20,1784592000,57.6846,9589.87,9647.55
2026-07-21,1784678400,55.3331,9477.72,9533.05
2026-07-22,1784764800,53.2415,9612.74,9665.99
2026-07-23,1784851200,49.227,9530.64,9579.86
2026-07-24,1784937600,46.0934,9583.35,9629.44
2026-07-25,1785024000,63.9146,9584.41,9648.33
2026-07-26,1785110400,44.8099,9663.71,9708.52
2026-07-27,1785196800,44.8065,9655.85,9700.65
2026-07-28,1785283200,43.6714,9808.06,9851.74
2026-07-29,1785369600,58.9957,9630.87,9689.87
2026-07-30,1785456000,60.2703,9737.62,9797.89
2026-07-31,1785542400,49.6351,9762.6,9812.24
2026-08-01,1785628800,68.1313,9781.08,9849.21
2026-08-02,1785715200,76.1171,9845.61,9921.72
2026-08-03,1785801600,45.5488,9961.67,10007.2
2026-08-04,1785888000,42.1979,9832.25,9874.45
2026-08-05,1785974400,51.9986,9967.41,10019.4
2026-08-06,1786060800,61.3613,9818.07,9879.43
2026-08-07,1786147200,45.2794,9806.43,9851.71
2026-08-08,1786233600,50.3619,9864.85,9915.21
2026-08-09,1786320000,51.5256,9919.54,9971.07
2026-08-10,1786322460,1.69304,9996.94,9998.63
