trade_id,market_question,entry_time,exit_time,hold_hours,entry_side,exit_side,entry_price,exit_price,size,gross_pnl_usd,pnl_cents_per_share,entry_mid,exit_mid,status,exit_reason
1,Fed Rate Hike by October 2026 Meeting?,2026-05-14T00:04:00+00:00,2026-05-14T00:15:00+00:00,0.1833,buy_yes,sell_yes,0.46,0.31,103.28,-15.492,-15,0.38,0.335,closed,opposite_fill
2,Fed Rate Hike by October 2026 Meeting?,2026-05-14T00:04:00+00:00,2026-05-14T00:36:00+00:00,0.5333,buy_yes,sell_yes,0.46,0.31,65.0664,-9.76,-15,0.38,0.335,closed,opposite_fill
3,Fed Rate Hike by October 2026 Meeting?,2026-05-14T00:36:00+00:00,2026-05-14T00:38:00+00:00,0.0333,sell_yes,buy_yes,0.31,0.3,38.2136,0.3821,1,0.335,0.28,closed,opposite_fill
4,Fed Rate Hike by October 2026 Meeting?,2026-05-14T00:38:00+00:00,2026-05-14T00:51:00+00:00,0.2167,buy_yes,sell_yes,0.3,0.31,65.0664,0.6507,1,0.28,0.335,closed,opposite_fill
5,Fed Rate Hike by October 2026 Meeting?,2026-05-14T00:51:00+00:00,2026-05-14T00:57:00+00:00,0.1,sell_yes,buy_yes,0.31,0.3,38.2136,0.3821,1,0.335,0.275,closed,opposite_fill
6,Fed Rate Hike by October 2026 Meeting?,2026-05-14T00:57:00+00:00,2026-05-14T01:00:00+00:00,0.05,buy_yes,sell_yes,0.3,0.31,65.0664,0.6507,1,0.275,0.33,closed,opposite_fill
7,Fed Rate Hike by October 2026 Meeting?,2026-05-14T01:00:00+00:00,2026-05-14T01:10:00+00:00,0.1667,sell_yes,buy_yes,0.31,0.3,38.2136,0.3821,1,0.33,0.28,closed,opposite_fill
8,Fed Rate Hike by October 2026 Meeting?,2026-05-14T01:10:00+00:00,2026-05-14T01:12:00+00:00,0.0333,buy_yes,sell_yes,0.3,0.31,65.0664,0.6507,1,0.28,0.33,closed,opposite_fill
9,Fed Rate Hike by October 2026 Meeting?,2026-05-14T01:12:00+00:00,2026-05-14T01:24:00+00:00,0.2,sell_yes,buy_yes,0.31,0.3,38.2136,0.3821,1,0.33,0.275,closed,opposite_fill
10,Fed Rate Hike by October 2026 Meeting?,2026-05-14T01:24:00+00:00,2026-05-14T01:27:00+00:00,0.05,buy_yes,sell_yes,0.3,0.31,65.0664,0.6507,1,0.275,0.335,closed,opposite_fill
11,Fed Rate Hike by October 2026 Meeting?,2026-05-14T01:27:00+00:00,2026-05-14T01:39:00+00:00,0.2,sell_yes,buy_yes,0.31,0.3,38.2136,0.3821,1,0.335,0.28,closed,opposite_fill
12,Fed Rate Hike by October 2026 Meeting?,2026-05-14T01:39:00+00:00,2026-05-14T01:41:00+00:00,0.0333,buy_yes,sell_yes,0.3,0.31,65.0664,0.6507,1,0.28,0.335,closed,opposite_fill
13,Fed Rate Hike by October 2026 Meeting?,2026-05-14T01:41:00+00:00,2026-05-14T01:44:00+00:00,0.05,sell_yes,buy_yes,0.31,0.3,38.2136,0.3821,1,0.335,0.28,closed,opposite_fill
14,Will there be no change in Fed interest rates after the September 2026 meeting?,2026-05-14T01:14:00+00:00,2026-05-14T01:46:00+00:00,0.5333,buy_yes,sell_yes,0.58,0.57,103.28,-1.0328,-1,0.535,0.58,closed,opposite_fill
15,Fed Rate Hike by October 2026 Meeting?,2026-05-14T01:44:00+00:00,2026-05-14T01:48:00+00:00,0.0667,buy_yes,sell_yes,0.3,0.31,65.0664,0.6507,1,0.28,0.335,closed,opposite_fill
16,Fed Rate Hike by October 2026 Meeting?,2026-05-14T01:48:00+00:00,2026-05-14T01:57:00+00:00,0.15,sell_yes,buy_yes,0.31,0.3,38.2136,0.3821,1,0.335,0.28,closed,opposite_fill
17,Fed Rate Hike by October 2026 Meeting?,2026-05-14T01:57:00+00:00,2026-05-14T02:00:00+00:00,0.05,buy_yes,sell_yes,0.3,0.31,65.0664,0.6507,1,0.28,0.335,closed,opposite_fill
18,Fed Rate Hike by October 2026 Meeting?,2026-05-14T02:00:00+00:00,2026-05-14T02:02:00+00:00,0.0333,sell_yes,buy_yes,0.31,0.3,38.2136,0.3821,1,0.335,0.28,closed,opposite_fill
19,Fed Rate Hike by October 2026 Meeting?,2026-05-14T02:02:00+00:00,2026-05-14T02:14:00+00:00,0.2,buy_yes,sell_yes,0.3,0.31,65.0664,0.6507,1,0.28,0.34,closed,opposite_fill
20,Fed Rate Hike by October 2026 Meeting?,2026-05-14T02:14:00+00:00,2026-05-14T02:16:00+00:00,0.0333,sell_yes,buy_yes,0.31,0.31,38.2136,0,0,0.34,0.28,closed,opposite_fill
21,Fed Rate Hike by October 2026 Meeting?,2026-05-14T02:16:00+00:00,2026-05-14T02:32:00+00:00,0.2667,buy_yes,sell_yes,0.31,0.31,65.0664,0,0,0.28,0.33,closed,opposite_fill
22,Fed Rate Hike by October 2026 Meeting?,2026-05-14T02:32:00+00:00,2026-05-14T02:48:00+00:00,0.2667,sell_yes,buy_yes,0.31,0.31,41.312,0,0,0.33,0.29,closed,opposite_fill
23,Fed Rate Hike by October 2026 Meeting?,2026-05-14T02:48:00+00:00,2026-05-14T02:50:00+00:00,0.0333,buy_yes,sell_yes,0.31,0.31,61.968,0,0,0.29,0.34,closed,opposite_fill
24,Fed Rate Hike by October 2026 Meeting?,2026-05-14T02:50:00+00:00,2026-05-14T02:55:00+00:00,0.0833,sell_yes,buy_yes,0.31,0.3,41.312,0.4131,1,0.34,0.28,closed,opposite_fill
25,Fed Rate Hike by October 2026 Meeting?,2026-05-14T02:55:00+00:00,2026-05-14T02:57:00+00:00,0.0333,buy_yes,sell_yes,0.3,0.32,61.968,1.2394,2,0.28,0.335,closed,opposite_fill
26,Fed Rate Hike by October 2026 Meeting?,2026-05-14T02:57:00+00:00,2026-05-14T03:03:00+00:00,0.1,sell_yes,buy_yes,0.32,0.31,44.4104,0.4441,1,0.335,0.285,closed,opposite_fill
27,Fed Rate Hike by October 2026 Meeting?,2026-05-14T03:03:00+00:00,2026-05-14T03:07:00+00:00,0.0667,buy_yes,sell_yes,0.31,0.31,58.8696,0,0,0.285,0.335,closed,opposite_fill
28,Fed Rate Hike by October 2026 Meeting?,2026-05-14T03:07:00+00:00,2026-05-14T03:16:00+00:00,0.15,sell_yes,buy_yes,0.31,0.31,47.5088,0,0,0.335,0.28,closed,opposite_fill
29,Fed Rate Hike by October 2026 Meeting?,2026-05-14T03:16:00+00:00,2026-05-14T03:18:00+00:00,0.0333,buy_yes,sell_yes,0.31,0.32,55.7712,0.5577,1,0.28,0.335,closed,opposite_fill
30,Fed Rate Hike by October 2026 Meeting?,2026-05-14T03:18:00+00:00,2026-05-14T03:52:00+00:00,0.5667,sell_yes,buy_yes,0.32,0.3,47.5088,0.9502,2,0.335,0.28,closed,opposite_fill
31,Fed Rate Hike by October 2026 Meeting?,2026-05-14T03:52:00+00:00,2026-05-14T03:56:00+00:00,0.0667,buy_yes,sell_yes,0.3,0.31,55.7712,0.5577,1,0.28,0.335,closed,opposite_fill
32,Fed Rate Hike by October 2026 Meeting?,2026-05-14T03:56:00+00:00,2026-05-14T03:59:00+00:00,0.05,sell_yes,buy_yes,0.31,0.3,47.5088,0.4751,1,0.335,0.28,closed,opposite_fill
33,Fed Rate Hike by October 2026 Meeting?,2026-05-14T03:59:00+00:00,2026-05-14T04:01:00+00:00,0.0333,buy_yes,sell_yes,0.3,0.31,55.7712,0.5577,1,0.28,0.335,closed,opposite_fill
